Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7650844,2018-09-06 00:08:41,2018-08-07 16:18:22,65999600,7461159963,65999600,113,3056,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650844,SRX4513777,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632338,SAMN09769917,simple,9606,Homo sapiens,GSM3320344,,,,,,,no,,,,,GEO,SRA754671,,public,02E0A029520C3EE3940105A1AFF3D9E1,FF9B47D9D53FAE6AEBFF98DFA7FBA4A9
SRR7650845,2018-09-06 00:08:41,2018-08-07 16:09:06,48142371,4982431640,48142371,103,2239,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650845,SRX4513778,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632337,SAMN09769899,simple,9606,Homo sapiens,GSM3320345,,,,,,,no,,,,,GEO,SRA754671,,public,C11D44708BE890DA85B071CF815D1963,03C6474590F521167D8F68F3BC6F97D7
SRR7650846,2018-09-06 00:08:41,2018-08-07 16:11:09,42644767,4821830055,42644767,113,2130,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650846,SRX4513779,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632339,SAMN09769898,simple,9606,Homo sapiens,GSM3320346,,,,,,,no,,,,,GEO,SRA754671,,public,8940DC274A57664881599A48D00F9BB7,C0951A3A0F9932ABFD4B99F5C47ECF74
SRR7650847,2018-09-06 00:08:41,2018-08-07 16:11:36,45025413,5521513735,45025413,122,2450,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650847,SRX4513780,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632340,SAMN09769897,simple,9606,Homo sapiens,GSM3320347,,,,,,,no,,,,,GEO,SRA754671,,public,B8658EE048334BAB08D00EFF653AEA27,F61CD43C22E31476D77AFACF1AFBF38E
SRR7650848,2018-09-06 00:08:41,2018-08-07 15:56:03,12552833,1586371807,12552833,126,600,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650848,SRX4513781,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632341,SAMN09769896,simple,9606,Homo sapiens,GSM3320348,,,,,,,no,,,,,GEO,SRA754671,,public,68BECA0977BE1C721947DA00C22AA7E5,638D9396F78B756A808C55CE932BD366
SRR7650849,2018-09-06 00:08:41,2018-08-07 16:00:37,26082304,3095465772,26082304,118,1380,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650849,SRX4513782,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632344,SAMN09769895,simple,9606,Homo sapiens,GSM3320349,,,,,,,no,,,,,GEO,SRA754671,,public,115F78AA6E2E0FE5C2DE5343ED0FD741,6F63CAB52341FA8DCA6224EA81F977B3
SRR7650850,2018-09-06 00:08:41,2018-08-07 16:02:55,31329950,3576367932,31329950,114,1586,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650850,SRX4513783,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632343,SAMN09769894,simple,9606,Homo sapiens,GSM3320350,,,,,,,no,,,,,GEO,SRA754671,,public,E1B9707217C7579E4C0F76A9F4DFAD13,B4C1E7B061514C48338EA43144BC5A4C
SRR7650851,2018-09-06 00:08:41,2018-08-07 16:09:20,37213139,4541129528,37213139,122,1789,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650851,SRX4513784,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632342,SAMN09769893,simple,9606,Homo sapiens,GSM3320351,,,,,,,no,,,,,GEO,SRA754671,,public,2CDCD5D9083B1F3DE9C13E8E711D3F04,5F1E843002C8315EE4311EFB58C21042
SRR7650852,2018-09-06 00:08:41,2018-08-07 16:12:00,37077258,4742515696,37077258,127,1873,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650852,SRX4513785,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632345,SAMN09769892,simple,9606,Homo sapiens,GSM3320352,,,,,,,no,,,,,GEO,SRA754671,,public,BC0996CBDEC77FB95FC869DD1F4BF6FC,638E57730F29E9381021A9348E1F8287
SRR7650853,2018-09-06 00:08:41,2018-08-07 16:16:18,57851725,7580433947,57851725,131,2977,,https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/007471/SRR7650853,SRX4513786,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP156496,PRJNA484801,,484801,SRS3632346,SAMN09769891,simple,9606,Homo sapiens,GSM3320353,,,,,,,no,,,,,GEO,SRA754671,,public,9F92C9B6D1F7F1C490ACBA8CDA9A1075,A0285D9736638BA73CD7F5E1B682F53A
