Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2920536,2016-06-01 15:56:07,2015-11-17 14:59:04,36089729,5485638808,36089729,152,2451,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920536,SRX1427859,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159250,SAMN04262069,simple,9606,Homo sapiens,GSM1937446,,,,,,,no,,,,,GEO,SRA311054,,public,1167823D2C3B3F691BC3F950E9F144C2,32B292E57C2F6F6A55C37DEF7AEF1FB9
SRR2920537,2016-06-01 15:56:07,2015-11-17 14:43:33,17951031,2728556712,17951031,152,1281,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920537,SRX1427860,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159249,SAMN04262072,simple,9606,Homo sapiens,GSM1937447,,,,,,,no,,,,,GEO,SRA311054,,public,7B0CA9DD0C4F5A3D6508885C9C0A6791,14554E59A42CCEFFEC179AEFB27E082E
SRR2920538,2016-06-01 15:56:07,2015-11-17 14:51:12,30091137,4573852824,30091137,152,2147,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920538,SRX1427861,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159248,SAMN04262073,simple,9606,Homo sapiens,GSM1937448,,,,,,,no,,,,,GEO,SRA311054,,public,418B6E09C3380CF2EB3E59A8A4621557,2036C8250E09E234302D9C6131CC6433
SRR2920539,2016-06-01 15:56:07,2015-11-17 14:50:31,30007615,4561157480,30007615,152,2123,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920539,SRX1427862,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159247,SAMN04262074,simple,9606,Homo sapiens,GSM1937449,,,,,,,no,,,,,GEO,SRA311054,,public,C8E929E96F0EF594F23B8B3D0149860F,E60238A3CB5C35160440628DB26658B7
SRR2920540,2016-06-01 15:56:07,2015-11-17 14:47:34,28198132,4286116064,28198132,152,2018,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920540,SRX1427863,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159246,SAMN04262075,simple,9606,Homo sapiens,GSM1937450,,,,,,,no,,,,,GEO,SRA311054,,public,A0219E5CFD4143FBD2E530F04ABACCD8,0E49875CEC0978E74C357544A8C9CD79
SRR2920541,2016-06-01 15:56:07,2015-11-17 14:47:04,26766200,4068462400,26766200,152,1923,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920541,SRX1427864,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159245,SAMN04262123,simple,9606,Homo sapiens,GSM1937451,,,,,,,no,,,,,GEO,SRA311054,,public,F980675472F256FFB79D549A9F6E7BD1,20279948AE33067FE9EA0F61DB6B2FEA
SRR2920542,2016-06-01 15:56:07,2015-11-17 14:51:55,38321838,5824919376,38321838,152,2754,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920542,SRX1427865,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159244,SAMN04262124,simple,9606,Homo sapiens,GSM1937452,,,,,,,no,,,,,GEO,SRA311054,,public,D4A153E6096687B819AB750624F0D7AC,92C9ED841F88C136E1FFDF52CE5E62E0
SRR2920543,2016-06-01 15:56:07,2015-11-17 15:00:20,49133405,7468277560,49133405,152,3485,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920543,SRX1427866,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159243,SAMN04262125,simple,9606,Homo sapiens,GSM1937453,,,,,,,no,,,,,GEO,SRA311054,,public,53724D5B0A70AE26E5C12A5016D3F3BC,A4704398DF64848CF0675B06664B95B5
SRR2920544,2016-06-01 15:56:07,2015-11-17 14:41:49,13736056,2087880512,13736056,152,1122,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920544,SRX1427867,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159242,SAMN04262070,simple,9606,Homo sapiens,GSM1937454,,,,,,,no,,,,,GEO,SRA311054,,public,9E95854F01A387B4434123101DCA80E3,316463336C772196F439F5E257ACA929
SRR2920545,2016-06-01 15:56:07,2015-11-17 14:38:38,4928791,749176232,4928791,152,403,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002852/SRR2920545,SRX1427868,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP066100,PRJNA301969,,301969,SRS1159241,SAMN04262071,simple,9606,Homo sapiens,GSM1937455,,,,,,,no,,,,,GEO,SRA311054,,public,C64CA9F7137B218108F5F7CB37F21E31,69D3A9DEC2471A40C543AB0A041E051C
